央视频道,#genre#
CCTV9记录,http://58.37.82.140:56789/rtp/239.45.1.108:5140$3840x2160
CCTV9记录,http://116.234.13.241:9898/rtp/239.45.1.108:5140$3840x2160
CCTV9记录,http://222.71.11.180:4022/rtp/239.45.1.108:5140$3840x2160
CCTV9记录,http://116.232.156.147:8888/rtp/239.45.3.4:5140$1920x1080
CCTV9记录,http://101.83.74.79:8686/rtp/239.45.3.4:5140$1920x1080
CCTV9记录,http://58.37.91.48:4000/rtp/239.45.3.4:5140$1920x1080
CCTV9记录,http://116.234.13.241:9898/rtp/239.45.3.4:5140$1920x1080
CCTV10科教,http://116.232.156.147:8888/rtp/239.45.3.8:5140$1920x1080
CCTV10科教,http://101.83.74.79:8686/rtp/239.45.3.8:5140$1920x1080
CCTV10科教,http://115.171.216.54:4000/rtp/225.1.8.10:8116$1920x1080
CCTV10科教,http://116.234.13.241:9898/rtp/239.45.3.8:5140$1920x1080
CCTV10科教,http://58.37.82.140:56789/rtp/239.45.3.8:5140$1920x1080
CCTV10科教,http://1.202.9.192:8888/rtp/225.1.8.10:8116$1920x1080
CCTV10科教,http://58.37.91.48:4000/rtp/239.45.3.8:5140$1920x1080
CCTV10科教,http://222.71.11.180:4022/rtp/239.45.3.8:5140$1920x1080
CCTV10科教,http://tv.100inns.com:4022/rtp/239.45.3.8:5140$1920x1080
CCTV10科教,http://115.171.216.54:4000/rtp/225.1.8.110:8228$720x576
CCTV11戏曲,http://115.171.216.54:4000/rtp/225.1.8.73:8120$1920x1080
CCTV11戏曲,http://1.202.9.192:8888/rtp/225.1.8.73:8120$1920x1080
CCTV11戏曲,http://58.37.82.140:56789/rtp/239.45.1.196:5140$720x576
CCTV11戏曲,http://116.232.156.147:8888/rtp/239.45.1.196:5140$720x576
CCTV11戏曲,http://58.37.91.48:4000/rtp/239.45.1.196:5140$720x576
CCTV11戏曲,http://116.234.13.241:9898/rtp/239.45.1.196:5140$720x576
CCTV11戏曲,http://101.83.74.79:8686/rtp/239.45.1.196:5140$720x576
CCTV11戏曲,http://115.171.216.54:4000/rtp/225.1.8.111:8040$720x576
CCTV11戏曲,http://1.202.9.192:8888/rtp/225.1.8.111:8040$720x576
CCTV11戏曲,http://tv.100inns.com:4022/rtp/239.45.1.196:5140$720x576
